Ticker,Name,Recommendation,Current Price,Target Price,Upside (%),Analyst Opinions
SLN,Silence Therapeutics plc,buy,5.33,32.36714,507.26,7
SNY,Sanofi,buy,49.67,64.103,29.06,10
STNE,StoneCo Ltd.,strong_buy,13.76,16.68562,21.26,14
TATT,TAT Technologies Ltd.,strong_buy,26.29,35.0,33.13,3
TCOM,Trip.com Group Limited,strong_buy,59.98,76.4414,27.44,28
TIGR,UP Fintech Holding Limited,buy,8.31,10.28714,23.79,7
TLX,Telix Pharmaceuticals Limited,strong_buy,16.09,22.691135,41.03,2
UFG,Uni-Fuels Holdings Limited,strong_buy,2.33,5.0,114.59,1
VEON,VEON Ltd.,strong_buy,38.265,63.225,65.23,4
VFS,VinFast Auto Ltd.,strong_buy,3.52,5.83333,65.72,3
VNET,"VNET Group, Inc.",buy,5.44,12.411595,128.15,13
WIX,Wix.com Ltd.,buy,149.1,217.84,46.1,23
YTRA,"Yatra Online, Inc.",buy,0.9683,2.9759123,207.33,1
ZAPP,Zapp Electric Vehicles Group Limited,buy,0.1548,35.0,22509.82,1
